Pallet: "pallet_asset", Extrinsic: "rename_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
  151     40.72     0.115    0.2%
  161     40.88     0.045    0.1%
  171     40.99     0.041    0.1%
  181      40.8     0.094    0.2%
  191     40.67     0.052    0.1%
  201     40.84     0.069    0.1%
  211     40.71     0.155    0.3%
  221     40.85     0.025    0.0%
  231     40.86      0.13    0.3%
  241     40.79     0.042    0.1%
  251     40.69     0.172    0.4%
  261     40.91     0.068    0.1%
  271     40.94     0.071    0.1%
  281     40.75     0.211    0.5%
  291     41.15     0.136    0.3%
  301     41.07     0.077    0.1%
  311     41.01     0.044    0.1%
  321     40.88     0.226    0.5%
  331     41.13     0.262    0.6%
  341     40.94     0.147    0.3%
  351     40.84     0.066    0.1%
  361     41.19      0.25    0.6%
  371     41.05     0.108    0.2%
  381      40.9     0.193    0.4%
  391     41.12     0.056    0.1%
  401     41.32     0.198    0.4%
  411     41.34     0.004    0.0%
  421     41.26      0.04    0.0%
  431      41.2     0.046    0.1%
  441     41.09     0.112    0.2%
  451     40.84     0.074    0.1%
  461     41.24     0.157    0.3%
  471     41.19     0.049    0.1%
  481     41.23     0.105    0.2%
  491     41.22     0.086    0.2%
  501      41.1     0.103    0.2%
  511     41.35     0.225    0.5%
  521     40.98     0.215    0.5%
  531     41.05     0.103    0.2%
  541     41.34     0.167    0.4%
  551     41.18     0.077    0.1%
  561     41.37     0.104    0.2%
  571     41.17     0.092    0.2%
  581     41.03      0.04    0.0%
  591     41.24     0.195    0.4%
  601     41.25     0.023    0.0%
  611     41.06      0.23    0.5%
  621     40.98     0.124    0.3%
  631     41.13     0.126    0.3%
  641     41.33     0.025    0.0%
  651      41.1     0.088    0.2%
  661     41.03     0.086    0.2%
  671     41.37     0.266    0.6%
  681     41.32     0.122    0.2%
  691     41.32     0.095    0.2%
  701     41.25     0.135    0.3%
  711     41.32     0.337    0.8%
  721     41.36     0.106    0.2%
  731     41.31     0.137    0.3%
  741     41.24      0.17    0.4%
  751     41.38     0.048    0.1%
  761      41.5     0.329    0.7%
  771     41.19     0.196    0.4%
  781     41.57     0.014    0.0%
  791     41.45     0.088    0.2%
  801     40.98     0.206    0.5%
  811      41.2     0.127    0.3%
  821     41.16     0.144    0.3%
  831     41.05     0.117    0.2%
  841     41.21     0.056    0.1%
  851     41.14     0.153    0.3%
  861     41.08     0.224    0.5%
  871     41.01     0.045    0.1%
  881     41.06     0.122    0.2%
  891     41.35     0.082    0.1%
  901     42.65     0.151    0.3%
  911     41.55     0.146    0.3%
  921     41.26     0.147    0.3%
  931     41.38     0.134    0.3%
  941     41.27     0.164    0.3%
  951     41.21     0.106    0.2%
  961     42.17     0.177    0.4%
  971      41.4     0.288    0.6%
  981     41.43     0.245    0.5%
  991     41.47     0.293    0.7%
 1001     41.94     0.092    0.2%
 1011     41.53     0.069    0.1%
 1021     41.63     0.217    0.5%

Quality and confidence:
param     error
n             0

Model:
Time ~=    40.65
    + n    0.001
              µs

Reads = 7 + (0 * n)
Writes = 1 + (0 * n)
