Pallet: "pallet_portfolio", Extrinsic: "create_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
457,142675,4813,8,8,2,2
457,165203,5313,8,8,2,2
457,142990,4778,8,8,2,2
457,143487,4824,8,8,2,2
457,124139,4119,8,8,2,2
461,123999,4305,8,8,2,2
461,142623,4832,8,8,2,2
461,143555,4971,8,8,2,2
461,169489,4798,8,8,2,2
461,125051,3980,8,8,2,2
465,123458,4297,8,8,2,2
465,137333,4191,8,8,2,2
465,123236,4155,8,8,2,2
465,123857,4198,8,8,2,2
465,123680,4094,8,8,2,2
469,143869,5144,8,8,2,2
469,124849,4117,8,8,2,2
469,151328,4318,8,8,2,2
469,150050,4756,8,8,2,2
469,124869,4031,8,8,2,2
473,143491,4808,8,8,2,2
473,123200,4104,8,8,2,2
473,124663,4225,8,8,2,2
473,143357,4663,8,8,2,2
473,123295,4179,8,8,2,2
477,123909,4172,8,8,2,2
477,142957,4746,8,8,2,2
477,120813,4104,8,8,2,2
477,120452,4112,8,8,2,2
477,127866,4254,8,8,2,2
481,143360,4087,8,8,2,2
481,126260,4144,8,8,2,2
481,143297,4578,8,8,2,2
481,125382,4111,8,8,2,2
481,123925,4071,8,8,2,2
485,123227,4170,8,8,2,2
485,143092,4714,8,8,2,2
485,124008,3925,8,8,2,2
485,119997,3893,8,8,2,2
485,124235,4055,8,8,2,2
489,123814,4300,8,8,2,2
489,123034,4197,8,8,2,2
489,145645,5785,8,8,2,2
489,125549,4145,8,8,2,2
489,125635,4183,8,8,2,2
493,124116,4233,8,8,2,2
493,123439,4245,8,8,2,2
493,145426,4168,8,8,2,2
493,124564,4145,8,8,2,2
493,143622,4704,8,8,2,2
497,124090,4212,8,8,2,2
497,152429,4850,8,8,2,2
497,123687,4050,8,8,2,2
497,123818,4250,8,8,2,2
497,123878,4111,8,8,2,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    136.6
    + i    0.008
              µs

Reads = 8 + (0 * i)
