Pallet: "pallet_settlement", Extrinsic: "create_venue", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
100000,5,68015,2114,8,8,8,2
100000,5,70892,2162,8,8,8,2
100000,5,67567,2144,8,8,8,2
100000,5,67778,2136,8,8,8,2
100000,6,69590,2237,8,8,9,2
100000,6,70278,2237,8,8,9,2
100000,6,68954,2229,8,8,9,2
100000,6,69498,2319,8,8,9,2
100000,6,69302,2140,8,8,9,2
100000,7,71084,2240,8,8,10,2
100000,7,71274,2156,8,8,10,2
100000,7,71282,2233,8,8,10,2
100000,7,71101,2231,8,8,10,2
100000,7,71462,2235,8,8,10,2
100000,8,73433,2165,8,8,11,2
100000,8,73042,2238,8,8,11,2
100000,8,72091,2159,8,8,11,2
100000,8,71945,2220,8,8,11,2
100000,8,72493,2113,8,8,11,2
100000,9,73843,2263,8,8,12,2
100000,9,73490,2200,8,8,12,2
100000,9,74239,2234,8,8,12,2
100000,9,74341,2250,8,8,12,2
100000,9,73981,2286,8,8,12,2
100000,10,74460,2238,8,8,13,2
100000,10,74050,2197,8,8,13,2
100000,10,75216,2273,8,8,13,2
100000,10,74395,2223,8,8,13,2
100000,10,74749,2153,8,8,13,2
100000,11,75778,2286,8,8,14,2
100000,11,76145,2215,8,8,14,2
100000,11,76212,2213,8,8,14,2
100000,11,76257,2266,8,8,14,2
100000,11,75819,2289,8,8,14,2
100000,12,77741,2206,8,8,15,2
100000,12,76938,2287,8,8,15,2
100000,12,77652,2220,8,8,15,2
100000,12,76884,2157,8,8,15,2
100000,12,77400,2196,8,8,15,2
100000,13,78634,2219,8,8,16,2
100000,13,78569,2190,8,8,16,2
100000,13,78891,2226,8,8,16,2
100000,13,77457,2185,8,8,16,2
100000,13,77850,2162,8,8,16,2
100000,14,79177,2249,8,8,17,2
100000,14,79088,2217,8,8,17,2
100000,14,79358,2264,8,8,17,2
100000,14,79257,2216,8,8,17,2
100000,14,78847,2329,8,8,17,2
100000,15,80399,2263,8,8,18,2
100000,15,80502,2236,8,8,18,2
100000,15,80310,2253,8,8,18,2
100000,15,80330,2240,8,8,18,2
100000,15,80977,2198,8,8,18,2
100000,16,82983,2334,8,8,19,2
100000,16,82837,2234,8,8,19,2
100000,16,82243,2234,8,8,19,2
100000,16,82887,2287,8,8,19,2
100000,16,83518,2296,8,8,19,2
100000,17,82981,2297,8,8,20,2
100000,17,83516,2235,8,8,20,2
100000,17,83459,2187,8,8,20,2
100000,17,83130,2302,8,8,20,2
100000,17,83133,2161,8,8,20,2
100000,18,84510,2297,8,8,21,2
100000,18,84849,2235,8,8,21,2
100000,18,85159,2221,8,8,21,2
100000,18,84610,2194,8,8,21,2
100000,18,84176,2187,8,8,21,2
100000,19,84540,2237,8,8,22,2
100000,19,83767,2136,8,8,22,2
100000,19,84538,2222,8,8,22,2
100000,19,84107,2248,8,8,22,2
100000,19,84861,2262,8,8,22,2
100000,20,86002,2323,8,8,23,2
100000,20,86200,2287,8,8,23,2
100000,20,85672,2193,8,8,23,2
100000,20,85621,2223,8,8,23,2
100000,20,84820,2191,8,8,23,2
100000,21,86843,2311,8,8,24,2
100000,21,87656,2227,8,8,24,2
100000,21,87282,2378,8,8,24,2
100000,21,87431,2265,8,8,24,2
100000,21,87324,2256,8,8,24,2
100000,22,88306,2281,8,8,25,2
100000,22,88091,2242,8,8,25,2
100000,22,87429,2308,8,8,25,2
100000,22,88366,2303,8,8,25,2
100000,22,87016,2305,8,8,25,2
100000,23,88607,2331,8,8,26,2
100000,23,88793,2274,8,8,26,2
100000,23,89553,2313,8,8,26,2
100000,23,88929,2405,8,8,26,2
100000,23,88837,2295,8,8,26,2
100000,24,90877,2364,8,8,27,2
100000,24,90567,2288,8,8,27,2
100000,24,89637,2262,8,8,27,2
100000,24,90696,2317,8,8,27,2
100000,24,90470,2322,8,8,27,2
100000,25,90512,2330,8,8,28,2
100000,25,91443,2317,8,8,28,2
100000,25,90540,2315,8,8,28,2
100000,25,91344,2336,8,8,28,2
100000,25,91193,2332,8,8,28,2
100000,26,93176,2352,8,8,29,2
100000,26,93787,2233,8,8,29,2
100000,26,93768,2336,8,8,29,2
100000,26,92930,2332,8,8,29,2
100000,26,93353,2286,8,8,29,2
100000,27,94085,2431,8,8,30,2
100000,27,94331,2348,8,8,30,2
100000,27,93567,2303,8,8,30,2
100000,27,94181,2320,8,8,30,2
100000,27,94213,2380,8,8,30,2
100000,28,93808,2427,8,8,31,2
100000,28,93107,2354,8,8,31,2
100000,28,93394,2320,8,8,31,2
100000,28,93323,2389,8,8,31,2
100000,28,92875,2250,8,8,31,2
100000,29,95677,2306,8,8,32,2
100000,29,95458,2307,8,8,32,2
100000,29,95746,2296,8,8,32,2
100000,29,95734,2367,8,8,32,2
100000,29,95394,2361,8,8,32,2
100000,30,95806,2316,8,8,33,2
100000,30,96250,2316,8,8,33,2
100000,30,95999,2270,8,8,33,2
100000,30,96880,2316,8,8,33,2
100000,30,96023,2268,8,8,33,2
100000,31,96960,2313,8,8,34,2
100000,31,96210,2269,8,8,34,2
100000,31,97964,2327,8,8,34,2
100000,31,97598,2350,8,8,34,2
100000,31,101503,2390,8,8,34,2
100000,32,97731,2289,8,8,35,2
100000,32,97714,2230,8,8,35,2
100000,32,96776,2380,8,8,35,2
100000,32,96956,2366,8,8,35,2
100000,32,97719,2271,8,8,35,2
100000,33,99882,2347,8,8,36,2
100000,33,98939,2262,8,8,36,2
100000,33,99338,2272,8,8,36,2
100000,33,99351,2341,8,8,36,2
100000,33,99702,2326,8,8,36,2
100000,34,100777,2593,8,8,37,2
100000,34,100240,2344,8,8,37,2
100000,34,99431,2351,8,8,37,2
100000,34,99721,2368,8,8,37,2
100000,34,101240,2349,8,8,37,2
100000,35,101298,2396,8,8,38,2
100000,35,101027,2267,8,8,38,2
100000,35,100899,2318,8,8,38,2
100000,35,101007,2258,8,8,38,2
100000,35,100795,2467,8,8,38,2
100000,36,101112,2216,8,8,39,2
100000,36,102783,2291,8,8,39,2
100000,36,101858,2355,8,8,39,2
100000,36,102587,2388,8,8,39,2
100000,36,102636,2388,8,8,39,2
100000,37,104254,2363,8,8,40,2
100000,37,103650,2314,8,8,40,2
100000,37,103664,2365,8,8,40,2
100000,37,104379,2349,8,8,40,2
100000,37,104408,2436,8,8,40,2
100000,38,104173,2409,8,8,41,2
100000,38,104550,2358,8,8,41,2
100000,38,103988,2328,8,8,41,2
100000,38,104787,2350,8,8,41,2
100000,38,104860,2371,8,8,41,2
100000,39,105206,2397,8,8,42,2
100000,39,105162,2223,8,8,42,2
100000,39,104849,2263,8,8,42,2
100000,39,105944,2284,8,8,42,2
100000,39,105862,2338,8,8,42,2
100000,40,105765,2479,8,8,43,2
