Pallet: "pallet_capital_distribution", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,740,1226758,6963,31,22,11,2
1000,740,1276718,7454,31,22,11,2
1000,740,1329587,8298,31,22,11,2
1000,740,1323987,7923,31,22,11,2
1000,740,1194003,6915,31,22,11,2
1000,760,1202397,6708,31,22,11,2
1000,760,1270260,7606,31,22,11,2
1000,760,1209783,6966,31,22,11,2
1000,760,2007658,8458,31,22,11,2
1000,760,1303161,7777,31,22,11,2
1000,780,1311600,7430,31,22,11,2
1000,780,1670531,8380,31,22,11,2
1000,780,1351881,7053,31,22,11,2
1000,780,1364688,7524,31,22,11,2
1000,780,1375240,6822,31,22,11,2
1000,800,1222668,7287,31,22,11,2
1000,800,1359185,6822,31,22,11,2
1000,800,1340622,7386,31,22,11,2
1000,800,1281867,6957,31,22,11,2
1000,800,1310777,7808,31,22,11,2
1000,820,1251323,7819,31,22,11,2
1000,820,1300554,7827,31,22,11,2
1000,820,1334730,6985,31,22,11,2
1000,820,1289384,7760,31,22,11,2
1000,820,1593652,8348,31,22,11,2
1000,840,1529650,7539,31,22,11,2
1000,840,1378066,7204,31,22,11,2
1000,840,1323334,7826,31,22,11,2
1000,840,1399571,7553,31,22,11,2
1000,840,1264980,6897,31,22,11,2
1000,860,1248063,7539,31,22,11,2
1000,860,1351412,6994,31,22,11,2
1000,860,1269998,6687,31,22,11,2
1000,860,1398974,7743,31,22,11,2
1000,860,1322138,7228,31,22,11,2
1000,880,1274329,7161,31,22,11,2
1000,880,1336616,7384,31,22,11,2
1000,880,1279375,7260,31,22,11,2
1000,880,1530557,8065,31,22,11,2
1000,880,1329021,6862,31,22,11,2
1000,900,1326170,6826,31,22,11,2
1000,900,1479266,7182,31,22,11,2
1000,900,1276836,6713,31,22,11,2
1000,900,1277332,6671,31,22,11,2
1000,900,1368068,8557,31,22,11,2
1000,920,1442694,6986,31,22,11,2
1000,920,1502517,7116,31,22,11,2
1000,920,1409033,7537,31,22,11,2
1000,920,1257555,6934,31,22,11,2
1000,920,1299080,25105,31,22,11,2
1000,940,1525161,7958,31,22,11,2
1000,940,1242855,7148,31,22,11,2
1000,940,1362508,6740,31,22,11,2
1000,940,1425970,8123,31,22,11,2
1000,940,1295328,7585,31,22,11,2
1000,960,1283227,23429,31,22,11,2
1000,960,1269985,6887,31,22,11,2
1000,960,1315432,7065,31,22,11,2
1000,960,1402012,7045,31,22,11,2
1000,960,1349736,6820,31,22,11,2
1000,980,1371311,8011,31,22,11,2
1000,980,1415289,7234,31,22,11,2
1000,980,1275409,7100,31,22,11,2
1000,980,1341241,7315,31,22,11,2
1000,980,1345278,7252,31,22,11,2
1000,1000,1282889,7491,31,22,11,2
1000,1000,1344252,7504,31,22,11,2
1000,1000,1471519,7532,31,22,11,2
1000,1000,1280945,7665,31,22,11,2
1000,1000,1430165,8254,31,22,11,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    728.4
    + t    0.432
    + w    0.211
              µs

Reads = 31 + (0 * t) + (0 * w)
Writes = 11 + (0 * t) + (0 * w)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    t     w   mean µs  sigma µs       %
    0  1000       916     25.39    2.7%
   20  1000     956.4     2.863    0.2%
   40  1000     933.1      55.8    5.9%
   60  1000     926.5     26.14    2.8%
   80  1000     975.7     5.492    0.5%
  100  1000     970.2     6.823    0.7%
  120  1000      1067       105    9.8%
  140  1000      1023     68.32    6.6%
  160  1000     986.9      21.5    2.1%
  180  1000      1003     19.78    1.9%
  200  1000     973.1     15.23    1.5%
  220  1000      1055     10.85    1.0%
  240  1000      1019     32.28    3.1%
  260  1000      1035     53.82    5.2%
  280  1000      1104     24.36    2.2%
  300  1000      1089      3.31    0.3%
  320  1000      1086      21.4    1.9%
  340  1000      1076     57.46    5.3%
  360  1000      1131     23.48    2.0%
  380  1000      1120     21.06    1.8%
  400  1000      1126     80.25    7.1%
  420  1000      1127     9.369    0.8%
  440  1000      1200     57.36    4.7%
  460  1000      1149     19.53    1.6%
  480  1000      1214     49.49    4.0%
  500  1000      1139     33.49    2.9%
  520  1000      1167     20.19    1.7%
  540  1000      1162     21.91    1.8%
  560  1000      1179     1.128    0.0%
  580  1000      1167     6.361    0.5%
  600  1000      1227     40.59    3.3%
  620  1000      1183     1.347    0.1%
  640  1000      1162     27.58    2.3%
  660  1000      1249     26.49    2.1%
  680  1000      1176     33.29    2.8%
  700  1000      1220     23.02    1.8%
  720  1000      1267     14.49    1.1%
  740  1000      1305     80.18    6.1%
  760  1000      1333     80.87    6.0%
  780  1000      1317     58.18    4.4%
  800  1000      1270     47.54    3.7%
  820  1000      1341     75.06    5.5%
  840  1000      1432     24.23    1.6%
  860  1000      1355     60.98    4.4%
  880  1000      1239     12.84    1.0%
  900  1000      1344     35.76    2.6%
  920  1000      1337     23.09    1.7%
  940  1000      1317     49.28    3.7%
  960  1000      1312     31.03    2.3%
  980  1000      1298     48.88    3.7%
 1000     0      1170     25.65    2.1%
 1000    20      1111     30.45    2.7%
