Pallet: "pallet_capital_distribution", Extrinsic: "push_benefit", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
 1000   440      1367     37.68    2.7%
 1000   460      1277     76.08    5.9%
 1000   480      1306     74.55    5.7%
 1000   500      1350     30.07    2.2%
 1000   520      1316     17.26    1.3%
 1000   540      1384     19.75    1.4%
 1000   560      1296      51.4    3.9%
 1000   580      1307     17.16    1.3%
 1000   600      1307     28.66    2.1%
 1000   620      1427     28.31    1.9%
 1000   640      1321     8.834    0.6%
 1000   660      1380     43.55    3.1%
 1000   680      1306     43.28    3.3%
 1000   700      1300     34.37    2.6%
 1000   720      1310     50.13    3.8%
 1000   740      1322     33.23    2.5%
 1000   760      1251     8.077    0.6%
 1000   780      1271     21.87    1.7%
 1000   800      1348      49.7    3.6%
 1000   820      1334     19.87    1.4%
 1000   840      1406      4.76    0.3%
 1000   860      1361     35.84    2.6%
 1000   880      1332     10.44    0.7%
 1000   900      1360     57.42    4.2%
 1000   920      1318     15.44    1.1%
 1000   940      1421     78.78    5.5%
 1000   960      1374     8.384    0.6%
 1000   980      1352     42.46    3.1%
 1000  1000      1396      59.3    4.2%

Quality and confidence:
param     error
t         0.014
w         0.014

Model:
Time ~=    721.5
    + t    0.473
    + w    0.217
              µs

Reads = 32 + (0 * t) + (0 * w)
Writes = 11 + (0 * t) + (0 * w)
