Pallet: "pallet_staking", Extrinsic: "submit_solution_better", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1760,2000,500,100,98451670,12239,2106,16406,2,2
1760,2000,500,100,98602341,13693,2106,16406,2,2
1760,2000,500,100,92424896,9999,2106,16406,2,2
1770,2000,500,100,93567620,23639,2106,16406,2,2
1770,2000,500,100,94568031,11503,2106,16406,2,2
1770,2000,500,100,97601889,11296,2106,16406,2,2
1770,2000,500,100,98224952,12146,2106,16406,2,2
1770,2000,500,100,104744253,11947,2106,16406,2,2
1780,2000,500,100,94550891,10944,2106,16406,2,2
1780,2000,500,100,100625506,12778,2106,16406,2,2
1780,2000,500,100,103858492,11205,2106,16406,2,2
1780,2000,500,100,95415284,12742,2106,16406,2,2
1780,2000,500,100,97136687,10630,2106,16406,2,2
1790,2000,500,100,92448349,10579,2106,16406,2,2
1790,2000,500,100,93235768,11534,2106,16406,2,2
1790,2000,500,100,93631359,11715,2106,16406,2,2
1790,2000,500,100,95979057,13057,2106,16406,2,2
1790,2000,500,100,98860687,10514,2106,16406,2,2
1800,2000,500,100,99344060,13533,2106,16406,2,2
1800,2000,500,100,98746596,13222,2106,16406,2,2
1800,2000,500,100,97420491,12482,2106,16406,2,2
1800,2000,500,100,100539655,11800,2106,16406,2,2
1800,2000,500,100,94511898,13040,2106,16406,2,2
1810,2000,500,100,95079938,19657,2106,16406,2,2
1810,2000,500,100,104985753,12690,2106,16406,2,2
1810,2000,500,100,94945491,12094,2106,16406,2,2
1810,2000,500,100,101639782,13349,2106,16406,2,2
1810,2000,500,100,97554438,11337,2106,16406,2,2
1820,2000,500,100,96211040,14450,2106,16406,2,2
1820,2000,500,100,99476996,12739,2106,16406,2,2
1820,2000,500,100,99399839,14539,2106,16406,2,2
1820,2000,500,100,96682779,27792,2106,16406,2,2
1820,2000,500,100,97846314,10903,2106,16406,2,2
1830,2000,500,100,100980197,11554,2106,16406,2,2
1830,2000,500,100,103691728,11124,2106,16406,2,2
1830,2000,500,100,97932639,23989,2106,16406,2,2
1830,2000,500,100,96668344,11957,2106,16406,2,2
1830,2000,500,100,97634983,11567,2106,16406,2,2
1840,2000,500,100,99309965,11324,2106,16406,2,2
1840,2000,500,100,97721508,15213,2106,16406,2,2
1840,2000,500,100,101378819,11289,2106,16406,2,2
1840,2000,500,100,95361063,17973,2106,16406,2,2
1840,2000,500,100,105318860,13042,2106,16406,2,2
1850,2000,500,100,109742839,13014,2106,16406,2,2
1850,2000,500,100,97571435,11867,2106,16406,2,2
1850,2000,500,100,93560643,32335,2106,16406,2,2
1850,2000,500,100,94881282,11582,2106,16406,2,2
1850,2000,500,100,104811543,10317,2106,16406,2,2
1860,2000,500,100,98980619,22109,2106,16406,2,2
1860,2000,500,100,98020384,12330,2106,16406,2,2
1860,2000,500,100,95215304,10437,2106,16406,2,2
1860,2000,500,100,100688774,14482,2106,16406,2,2
1860,2000,500,100,96996705,12360,2106,16406,2,2
1870,2000,500,100,96547294,13854,2106,16406,2,2
1870,2000,500,100,99095648,12179,2106,16406,2,2
1870,2000,500,100,97591851,10652,2106,16406,2,2
1870,2000,500,100,96640720,13155,2106,16406,2,2
1870,2000,500,100,97179187,12144,2106,16406,2,2
1880,2000,500,100,98585010,11874,2106,16406,2,2
1880,2000,500,100,98134228,11198,2106,16406,2,2
1880,2000,500,100,93930295,11231,2106,16406,2,2
1880,2000,500,100,96070701,10388,2106,16406,2,2
1880,2000,500,100,100949854,12043,2106,16406,2,2
1890,2000,500,100,95497163,13653,2106,16406,2,2
1890,2000,500,100,99092516,11999,2106,16406,2,2
1890,2000,500,100,95590332,12103,2106,16406,2,2
1890,2000,500,100,95329666,12942,2106,16406,2,2
1890,2000,500,100,96517187,12414,2106,16406,2,2
1900,2000,500,100,101789743,12274,2106,16406,2,2
1900,2000,500,100,101028968,11362,2106,16406,2,2
1900,2000,500,100,97424431,12691,2106,16406,2,2
1900,2000,500,100,95302872,11235,2106,16406,2,2
1900,2000,500,100,94942531,11230,2106,16406,2,2
1910,2000,500,100,96821069,23165,2106,16406,2,2
