Pallet: "pallet_portfolio", Extrinsic: "move_portfolio_funds", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
433,6112257,2869,1307,1305,866,2
433,6164122,2863,1307,1305,866,2
437,6163199,2811,1319,1317,874,2
437,6237654,2829,1319,1317,874,2
437,6229456,2739,1319,1317,874,2
437,6227043,2824,1319,1317,874,2
437,6204349,2876,1319,1317,874,2
441,6192589,2750,1331,1329,882,2
441,6198820,2727,1331,1329,882,2
441,6180396,2727,1331,1329,882,2
441,6164461,2682,1331,1329,882,2
441,6210350,2795,1331,1329,882,2
445,6204258,2818,1343,1341,890,2
445,6237805,2722,1343,1341,890,2
445,6275063,2864,1343,1341,890,2
445,6248463,2842,1343,1341,890,2
445,6236079,2834,1343,1341,890,2
449,6333007,2821,1355,1353,898,2
449,6404936,2748,1355,1353,898,2
449,6367784,2657,1355,1353,898,2
449,6365335,2779,1355,1353,898,2
449,6348943,2779,1355,1353,898,2
453,6430209,2782,1367,1365,906,2
453,6360634,2795,1367,1365,906,2
453,6387737,2844,1367,1365,906,2
453,6361516,2789,1367,1365,906,2
453,6351657,2883,1367,1365,906,2
457,6405620,2785,1379,1377,914,2
457,6382954,2960,1379,1377,914,2
457,6382204,2878,1379,1377,914,2
457,6375016,2914,1379,1377,914,2
457,6408543,2832,1379,1377,914,2
461,6524732,3082,1391,1389,922,2
461,6560141,2947,1391,1389,922,2
461,6526411,2807,1391,1389,922,2
461,6577906,2923,1391,1389,922,2
461,6538856,2913,1391,1389,922,2
465,6522162,2944,1403,1401,930,2
465,6537883,2699,1403,1401,930,2
465,6494779,2764,1403,1401,930,2
465,6518896,2783,1403,1401,930,2
465,6557961,2757,1403,1401,930,2
469,6557017,2804,1415,1413,938,2
469,6607330,2856,1415,1413,938,2
469,6530957,2845,1415,1413,938,2
469,6552965,2882,1415,1413,938,2
469,6539331,2749,1415,1413,938,2
473,6627722,2828,1427,1425,946,2
473,6603724,2823,1427,1425,946,2
473,6696780,2800,1427,1425,946,2
473,6597555,2769,1427,1425,946,2
473,6649499,2827,1427,1425,946,2
477,6679074,3016,1439,1437,954,2
477,6735786,2809,1439,1437,954,2
477,6717550,2738,1439,1437,954,2
477,6737450,2770,1439,1437,954,2
477,6761731,2810,1439,1437,954,2
481,6735695,2989,1451,1449,962,2
481,6635855,2787,1451,1449,962,2
481,6641410,3071,1451,1449,962,2
481,6640472,2844,1451,1449,962,2
481,6666222,2841,1451,1449,962,2
485,6853239,2891,1463,1461,970,2
485,6883404,2780,1463,1461,970,2
485,6889038,3711,1463,1461,970,2
485,6919498,3415,1463,1461,970,2
485,6899834,3043,1463,1461,970,2
489,6955478,2800,1475,1473,978,2
489,6951392,2810,1475,1473,978,2
489,6876652,2940,1475,1473,978,2
489,6946497,2917,1475,1473,978,2
489,6913909,2896,1475,1473,978,2
493,7009900,2869,1487,1485,986,2
