Pallet: "pallet_staking", Extrinsic: "submit_solution_initial", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1630,2000,500,100,101578117,12105,2106,16406,2,2
1640,2000,500,100,105110706,26055,2106,16406,2,2
1640,2000,500,100,105560022,26056,2106,16406,2,2
1640,2000,500,100,96404213,13369,2106,16406,2,2
1640,2000,500,100,98992446,11874,2106,16406,2,2
1640,2000,500,100,101766537,14453,2106,16406,2,2
1650,2000,500,100,104418127,31113,2106,16406,2,2
1650,2000,500,100,104153569,12988,2106,16406,2,2
1650,2000,500,100,110746149,13268,2106,16406,2,2
1650,2000,500,100,110384204,12957,2106,16406,2,2
1650,2000,500,100,98936762,12307,2106,16406,2,2
1660,2000,500,100,100450555,11296,2106,16406,2,2
1660,2000,500,100,100471787,11779,2106,16406,2,2
1660,2000,500,100,103132439,13564,2106,16406,2,2
1660,2000,500,100,99074225,10979,2106,16406,2,2
1660,2000,500,100,97144409,11143,2106,16406,2,2
1670,2000,500,100,107259471,20036,2106,16406,2,2
1670,2000,500,100,111004131,24478,2106,16406,2,2
1670,2000,500,100,100790780,12578,2106,16406,2,2
1670,2000,500,100,100688008,13103,2106,16406,2,2
1670,2000,500,100,99446316,12588,2106,16406,2,2
1680,2000,500,100,99231672,12657,2106,16406,2,2
1680,2000,500,100,104200258,12815,2106,16406,2,2
1680,2000,500,100,95420208,12612,2106,16406,2,2
1680,2000,500,100,99983346,11657,2106,16406,2,2
1680,2000,500,100,101581617,11562,2106,16406,2,2
1690,2000,500,100,100341505,12208,2106,16406,2,2
1690,2000,500,100,104998804,14884,2106,16406,2,2
1690,2000,500,100,101427109,12894,2106,16406,2,2
1690,2000,500,100,104593740,12746,2106,16406,2,2
1690,2000,500,100,99688534,12865,2106,16406,2,2
1700,2000,500,100,99045475,12600,2106,16406,2,2
1700,2000,500,100,102442151,11287,2106,16406,2,2
1700,2000,500,100,100349296,11873,2106,16406,2,2
1700,2000,500,100,105342203,14442,2106,16406,2,2
1700,2000,500,100,102833171,13404,2106,16406,2,2
1710,2000,500,100,99526228,26073,2106,16406,2,2
1710,2000,500,100,97719162,12787,2106,16406,2,2
1710,2000,500,100,108636929,13176,2106,16406,2,2
1710,2000,500,100,101225915,13880,2106,16406,2,2
1710,2000,500,100,101582057,11014,2106,16406,2,2
1720,2000,500,100,105464127,12360,2106,16406,2,2
1720,2000,500,100,98497549,12574,2106,16406,2,2
1720,2000,500,100,97984389,12778,2106,16406,2,2
1720,2000,500,100,106843599,10984,2106,16406,2,2
1720,2000,500,100,95931147,11721,2106,16406,2,2
1730,2000,500,100,100843290,12212,2106,16406,2,2
1730,2000,500,100,103793690,13236,2106,16406,2,2
1730,2000,500,100,102498169,11084,2106,16406,2,2
1730,2000,500,100,100001094,12250,2106,16406,2,2
1730,2000,500,100,104800771,11899,2106,16406,2,2
1740,2000,500,100,106270126,13295,2106,16406,2,2
