Pallet: "frame_system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   55     18.41     0.113    0.6%
   64     21.13     0.113    0.5%
   73     24.71     0.025    0.1%
   82     27.69     0.076    0.2%
   91     31.06     0.052    0.1%
  100     34.28      0.13    0.3%
  109        38     0.101    0.2%
  118     41.18     0.188    0.4%
  127     43.83     0.159    0.3%
  136     47.47     0.153    0.3%
  145     50.23     0.145    0.2%
  154     53.16     0.228    0.4%
  163     57.15     0.041    0.0%
  172     60.07     0.104    0.1%
  181     62.68      0.14    0.2%
  190     66.18      0.29    0.4%
  199     70.34     0.054    0.0%
  208     72.48     0.087    0.1%
  217     76.24     0.151    0.1%
  226     79.84     0.251    0.3%
  235     82.52     0.041    0.0%
  244     87.19     0.388    0.4%
  253     89.13     0.102    0.1%
  262      93.6     0.318    0.3%
  271     96.57     0.259    0.2%
  280     99.94     0.253    0.2%
  289     98.92     0.078    0.0%
  298     101.9     0.134    0.1%
  307     107.3     1.776    1.6%
  316     108.4      1.16    1.0%
  325     117.2     0.208    0.1%
  334     121.2     0.172    0.1%
  343     124.3     0.241    0.1%
  352     127.5      0.13    0.1%
  361     130.4     0.097    0.0%
  370     133.6     0.058    0.0%
  379     138.9     0.015    0.0%
  388     140.8     0.386    0.2%
  397     144.4     0.196    0.1%
  406     147.8     0.076    0.0%
  415     151.7     0.366    0.2%
  424     154.5       0.2    0.1%
  433     157.7       0.1    0.0%
  442     148.4     0.043    0.0%
  451     150.8     0.068    0.0%
  460     164.8     6.895    4.1%
  469     173.9     0.411    0.2%
  478     176.2     0.221    0.1%
  487     181.1     0.506    0.2%
  496     182.1     0.195    0.1%
  505       187     0.271    0.1%
  514     189.5     0.316    0.1%
  523     194.8      1.12    0.5%
  532     197.8     0.262    0.1%
  541     201.8     0.307    0.1%
  550       204     0.291    0.1%
  559     211.2     0.291    0.1%
  568     211.5     0.308    0.1%
  577     216.6     1.226    0.5%
  586     219.6     1.033    0.4%
  595     222.5     0.461    0.2%
  604     226.9     0.502    0.2%
  613     229.7     0.255    0.1%
  622     233.8     0.177    0.0%
  631     237.9     0.144    0.0%
  640     239.5     0.504    0.2%
  649     223.4     0.668    0.2%
  658     226.8     0.093    0.0%
  667       229     0.345    0.1%
  676     234.3     0.924    0.3%
  685     236.3     0.556    0.2%
  694     239.1      0.22    0.0%
  703     243.5     0.419    0.1%
  712       246     0.172    0.0%
  721       249     0.275    0.1%
  730     252.2     0.588    0.2%
  739     255.5     0.349    0.1%
  748     260.1     2.027    0.7%
  757     262.4     0.325    0.1%
  766     265.9     0.311    0.1%
  775     278.9     0.566    0.2%
  784     280.1     0.029    0.0%
  793     285.1     0.538    0.1%
  802       290      0.78    0.2%
  811     294.3     0.277    0.0%
  820     294.1     0.175    0.0%
  829     298.9     0.235    0.0%
  838     300.7     0.287    0.0%
  847     307.3     0.775    0.2%
  856     312.6     0.315    0.1%
  865     304.3     0.645    0.2%
  874     313.9     0.397    0.1%
  883       319     0.181    0.0%
  892     315.8     0.139    0.0%
  901     319.6     0.449    0.1%
  910     320.9     0.748    0.2%
  919     322.9     0.686    0.2%
